"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.0736 hourly","$1.3717 hourly","$0.7600 hourly","$4.2816 hourly","$3.5797 hourly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$2.0960 hourly","$1.3200 hourly","$0.3089 hourly","$3.5680 hourly","$2.7920 hourly"
"R7I Eight Extra Large","r7i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$2.1168 hourly","$1.4003 hourly","$0.2117 hourly","$3.5888 hourly","$2.8723 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.1280 hourly","$1.3440 hourly","$0.6882 hourly","$3.6000 hourly","$2.8160 hourly"
"C7I 12xlarge","c7i.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.1420 hourly","$1.4169 hourly","$0.6843 hourly","$4.3500 hourly","$3.6249 hourly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.1696 hourly","$1.3668 hourly","$0.7249 hourly","unavailable","unavailable"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","50 Gigabit","$2.1760 hourly","$1.3710 hourly","$0.6804 hourly","$3.6480 hourly","$2.8430 hourly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$0.4464 hourly","unavailable","unavailable"
"M5DN Eight Extra Large","m5dn.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","$2.1760 hourly","$1.3710 hourly","$0.7865 hourly","$3.6480 hourly","$2.8430 hourly"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$0.3859 hourly","unavailable","unavailable"
"R7GD Eight Extra Large","r7gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$2.1773 hourly","$1.3684 hourly","$0.3599 hourly","unavailable","unavailable"
"C7GD 12xlarge","c7gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$2.1773 hourly","$1.3721 hourly","$0.4614 hourly","unavailable","unavailable"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","EBS only","50 Gigabit","$2.2277 hourly","$1.4034 hourly","$0.6894 hourly","$3.6997 hourly","$2.8754 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","900 GB                 NVMe SSD","12 Gigabit","$2.2320 hourly","$1.4060 hourly","$0.7208 hourly","$3.3360 hourly","$2.5100 hourly"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.2800 hourly","$1.5561 hourly","$0.9748 hourly","$3.7520 hourly","$3.0281 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.8907 hourly","$4.5120 hourly","$3.6600 hourly"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.5959 hourly","$3.7760 hourly","$2.9240 hourly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.8786 hourly","$4.5120 hourly","$3.6600 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.3040 hourly","$1.5241 hourly","$0.9573 hourly","$4.5120 hourly","$3.7321 hourly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.3052 hourly","$1.5722 hourly","$0.2740 hourly","unavailable","unavailable"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.3123 hourly","$1.5296 hourly","$0.5694 hourly","unavailable","unavailable"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.3123 hourly","$1.5296 hourly","$0.4757 hourly","unavailable","unavailable"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","EBS only","25 Gigabit","$2.3840 hourly","$1.5020 hourly","$0.4815 hourly","$3.8560 hourly","$2.9740 hourly"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.3840 hourly","$1.5019 hourly","$0.7924 hourly","$3.8560 hourly","$2.9739 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","EBS only","20 Gigabit","$2.4192 hourly","$1.5241 hourly","$0.5271 hourly","unavailable","unavailable"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$2.4192 hourly","$1.5204 hourly","$0.5954 hourly","$3.8912 hourly","$2.9924 hourly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.4192 hourly","$1.6003 hourly","$0.8369 hourly","$4.6272 hourly","$3.8083 hourly"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$2.4192 hourly","$1.5246 hourly","$0.4724 hourly","$4.6272 hourly","$3.7326 hourly"
"R7A Eight Extra Large","r7a.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$2.4344 hourly","$1.6104 hourly","$0.7785 hourly","$3.9064 hourly","$3.0824 hourly"
